topic	word	pos	meaning	example	translation
职场沟通	convey	v.	传达	The chart conveys the main idea clearly.	图表清楚地传达了主要观点。
职场沟通	postpone	v.	推迟	We had to postpone the meeting.	我们不得不推迟会议。
职场沟通	confirm	v.	确认	Please confirm your attendance.	请确认你是否出席。
职场沟通	coordinate	v.	协调	I will coordinate the next steps.	我会协调接下来的步骤。
职场沟通	resolve	v.	解决	Let us resolve the problem together.	让我们一起解决这个问题。
职场沟通	priority	n.	优先事项	Quality is our top priority.	质量是我们的首要任务。
职场沟通	proposal	n.	提案	I will send the proposal this afternoon.	我今天下午会发送提案。
职场沟通	budget	n.	预算	The project is within budget.	项目没有超出预算。
职场沟通	stakeholder	n.	利益相关者	We invited each stakeholder to comment.	我们邀请每位利益相关者提出意见。
职场沟通	milestone	n.	里程碑	The first milestone is a working prototype.	第一个里程碑是一个可运行的原型。
职场沟通	delegate	v.	委派	She delegated the task to a colleague.	她把任务委派给了一位同事。
职场沟通	agenda	n.	议程	The agenda contains three topics.	议程包含三个议题。
职场沟通	progress	n.	进展	We made steady progress this month.	我们这个月取得了稳步进展。
计算机技术	algorithm	n.	算法	This algorithm sorts the records.	这个算法对记录进行排序。
计算机技术	cache	n.	缓存	The cache reduces repeated requests.	缓存减少了重复请求。
计算机技术	latency	n.	延迟	The change reduced network latency.	这项变更降低了网络延迟。
计算机技术	throughput	n.	吞吐量	We measured the system throughput.	我们测量了系统吞吐量。
计算机技术	concurrency	n.	并发	Concurrency can improve resource use.	并发可以提高资源利用率。
计算机技术	transaction	n.	事务	The transaction updated two records.	该事务更新了两条记录。
计算机技术	consistency	n.	一致性	The database guarantees consistency.	数据库保证一致性。
计算机技术	durability	n.	持久性	Durability protects committed data.	持久性保护已提交的数据。
计算机技术	checkpoint	n.	检查点	The system saves a checkpoint every minute.	系统每分钟保存一次检查点。
计算机技术	replication	n.	复制	Replication keeps a second copy of the data.	复制机制保留数据的第二份副本。
计算机技术	partition	n.	分区	Each partition stores a subset of records.	每个分区存储一部分记录。
计算机技术	serialize	v.	序列化	Serialize the object before saving it.	保存对象前先将其序列化。
计算机技术	deploy	v.	部署	We will deploy the update tonight.	我们今晚将部署更新。
计算机技术	rollback	n.	回滚	A rollback restored the previous version.	一次回滚恢复了先前的版本。
计算机技术	dependency	n.	依赖项	This library has one external dependency.	这个库有一个外部依赖项。
计算机技术	interface	n.	接口	The interface defines three methods.	该接口定义了三个方法。
计算机技术	exception	n.	异常	Handle the exception and show a message.	处理异常并显示提示。
计算机技术	immutable	adj.	不可变的	An immutable object cannot be changed.	不可变对象不能被修改。
计算机技术	asynchronous	adj.	异步的	The application makes an asynchronous request.	应用发起一个异步请求。
计算机技术	buffer	n.	缓冲区	The buffer holds incoming data.	缓冲区保存传入的数据。
计算机技术	bottleneck	n.	瓶颈	Disk access became a bottleneck.	磁盘访问成了瓶颈。
计算机技术	benchmark	n.	基准测试	Run the benchmark before comparing results.	比较结果之前先运行基准测试。
计算机技术	retrieve	v.	检索；取回	Retrieve the record using its identifier.	使用标识符检索记录。
计算机技术	memory	n.	内存	The process uses less memory now.	该进程现在使用更少的内存。
计算机技术	storage	n.	存储	Local storage keeps your settings.	本地存储保存你的设置。
计算机技术	encryption	n.	加密	Encryption protects data in transit.	加密保护传输中的数据。
计算机技术	authentication	n.	身份验证	Authentication is required before access.	访问前需要进行身份验证。
计算机技术	permission	n.	权限	The app asks for calendar permission.	应用请求日历权限。
计算机技术	framework	n.	框架	The framework handles page updates.	该框架处理页面更新。
计算机技术	debug	v.	调试	We need to debug the startup failure.	我们需要调试启动失败的问题。
旅行生活	itinerary	n.	行程安排	Our itinerary includes two coastal towns.	我们的行程包括两个沿海小镇。
旅行生活	reservation	n.	预订	I would like to confirm my reservation.	我想确认我的预订。
旅行生活	departure	n.	出发；离境	Check the departure time before leaving.	出门前确认出发时间。
旅行生活	arrival	n.	到达	The arrival hall is downstairs.	到达大厅在楼下。
旅行生活	luggage	n.	行李	Please keep your luggage with you.	请随身看管好行李。
旅行生活	passport	n.	护照	My passport is in this pocket.	我的护照在这个口袋里。
旅行生活	customs	n.	海关	We passed through customs quickly.	我们很快通过了海关。
旅行生活	boarding	n.	登机	Boarding starts in twenty minutes.	二十分钟后开始登机。
旅行生活	accommodation	n.	住宿	We found affordable accommodation nearby.	我们在附近找到了价格合适的住宿。
旅行生活	destination	n.	目的地	The island is our final destination.	这座岛是我们的最终目的地。
旅行生活	transfer	n.	换乘	The trip requires one transfer.	这段行程需要换乘一次。
旅行生活	currency	n.	货币	Where can I exchange currency?	我在哪里可以兑换货币？
旅行生活	receipt	n.	收据	Could I have a receipt, please?	请给我一张收据好吗？
旅行生活	refund	n.	退款	You can request a refund online.	你可以在线申请退款。
旅行生活	delay	n.	延误	There is a short delay today.	今天有短暂延误。
旅行生活	platform	n.	站台	The train leaves from platform six.	火车从六号站台出发。
旅行生活	entrance	n.	入口	The entrance is on the left.	入口在左边。
旅行生活	exit	n.	出口	Follow the signs to the exit.	按照标识走到出口。
旅行生活	emergency	n.	紧急情况	Call this number in an emergency.	遇到紧急情况请拨打这个号码。
旅行生活	pharmacy	n.	药店	There is a pharmacy across the street.	街对面有一家药店。
旅行生活	allergy	n.	过敏	I have an allergy to peanuts.	我对花生过敏。
旅行生活	ingredient	n.	配料	What is the main ingredient?	主要配料是什么？
旅行生活	vegetarian	adj.	素食的	Do you have a vegetarian option?	你们有素食选择吗？
旅行生活	portion	n.	一份食物	One portion is enough for me.	一份就够我吃了。
旅行生活	souvenir	n.	纪念品	I bought a small souvenir.	我买了一件小纪念品。
旅行生活	landmark	n.	地标	The tower is a famous landmark.	这座塔是一处著名地标。
旅行生活	direction	n.	方向	Which direction is the station?	车站在哪个方向？
旅行生活	distance	n.	距离	The walking distance is about a kilometer.	步行距离大约一公里。
旅行生活	insurance	n.	保险	Travel insurance covers some unexpected costs.	旅行保险覆盖部分意外费用。
旅行生活	explore	v.	探索；游览	We want to explore the old town.	我们想游览这座老城。
阅读表达	perspective	n.	视角；观点	Try to see it from another perspective.	试着从另一个视角看待它。
阅读表达	concise	adj.	简明的	Keep your explanation concise.	让你的解释简明扼要。
阅读表达	insight	n.	洞察；见解	The book offers an interesting insight.	这本书提供了一个有趣的见解。
阅读表达	relevant	adj.	相关的	Please include only relevant details.	请只包含相关细节。
阅读表达	assumption	n.	假设	We should check this assumption.	我们应该检验这个假设。
阅读表达	articulate	v.	清楚表达	She can articulate complex ideas clearly.	她能清楚地表达复杂的想法。
阅读表达	overlook	v.	忽略	Do not overlook the small details.	不要忽略小细节。
阅读表达	thorough	adj.	彻底的；周密的	We need a thorough review.	我们需要一次周密的审查。
阅读表达	sustainable	adj.	可持续的	We need a sustainable approach.	我们需要一种可持续的方法。
阅读表达	specific	adj.	具体的	Please give a specific example.	请给出一个具体例子。
阅读表达	accurate	adj.	准确的	Make sure the information is accurate.	确保信息准确。
阅读表达	evidence	n.	证据	The evidence supports the conclusion.	证据支持这一结论。
阅读表达	context	n.	语境；背景	Context helps us understand the word.	语境帮助我们理解这个词。
阅读表达	interpret	v.	解释；理解	People may interpret the message differently.	人们可能会对这条消息有不同理解。
阅读表达	imply	v.	暗示；意味着	A low price does not imply poor quality.	价格低不意味着质量差。
阅读表达	infer	v.	推断	We can infer the meaning from context.	我们可以根据语境推断含义。
阅读表达	contrast	n.	对比	The contrast between the two ideas is clear.	这两个想法之间的对比很明显。
阅读表达	emphasize	v.	强调	The author emphasizes the need for patience.	作者强调了耐心的必要性。
阅读表达	summarize	v.	概括	Can you summarize the main argument?	你能概括主要论点吗？
阅读表达	illustrate	v.	说明；举例说明	This example illustrates the difference.	这个例子说明了区别。
阅读表达	approach	n.	方法	We tried a different approach.	我们尝试了另一种方法。
阅读表达	significant	adj.	显著的；重要的	There was a significant improvement.	出现了显著改善。
阅读表达	consequence	n.	后果	Consider the consequence of each choice.	考虑每个选择的后果。
阅读表达	potential	adj.	潜在的	We identified a potential problem.	我们发现了一个潜在问题。
阅读表达	essential	adj.	必不可少的	Regular practice is essential.	规律练习必不可少。
阅读表达	consistent	adj.	一致的；持续的	Consistent effort brings results.	持续的努力会带来成果。
阅读表达	gradual	adj.	逐渐的	Learning is a gradual process.	学习是一个循序渐进的过程。
阅读表达	precise	adj.	精确的	Use precise language in your report.	在报告中使用精确的语言。
阅读表达	objective	adj.	客观的	Try to give an objective assessment.	尽量给出客观的评估。
阅读表达	alternative	n.	替代方案	There is another alternative.	还有另一个替代方案。
